brand,name,price,category,colors,image_url,description,materials
Allbirds,Court Natural,128,limited,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Allbirds+Court,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Cuir Apple"
Converse,Classic Eco,110,lifestyle,Clay Orange/Terra Green,https://via.placeholder.com/400x400/D4725B/2D5A27?text=Converse+Classic,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Matériaux recyclés"
Reebok,Runner Ocean,110,performance,Sage Green/Desert Sand,https://via.placeholder.com/400x400/9CAF88/EDC9AF?text=Reebok+Runner,Sneaker performance avec approche écoresponsable,"Algues marines, Ocean Plastic"
Adidas,Superstar Ocean,169,limited,Sage Green/Urban Black,https://via.placeholder.com/400x400/9CAF88/1A1A1A?text=Adidas+Superstar,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Converse,Classic Sustainable,97,performance,Stone White/Earth Brown,https://via.placeholder.com/400x400/F5F5F0/8B4513?text=Converse+Classic,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Coton bio"
Adidas,NMD Eco,173,performance,Sage Green/Sage Green,https://via.placeholder.com/400x400/9CAF88/9CAF88?text=Adidas+NMD,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Déchets plastiques"
Vans,Old Skool Eco,172,lifestyle,Ocean Blue/Stone White,https://via.placeholder.com/400x400/4682B4/F5F5F0?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Algues marines"
New Balance,2002R Bio,92,performance,Sage Green/Urban Black,https://via.placeholder.com/400x400/9CAF88/1A1A1A?text=New Balance+2002R,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Allbirds,Classic Natural,226,performance,Terra Green/Clay Orange,https://via.placeholder.com/400x400/2D5A27/D4725B?text=Allbirds+Classic,Sneaker performance avec approche écoresponsable,"Coton bio, Cuir Apple"
Converse,Court Bio,84,performance,Ocean Blue/Clay Orange,https://via.placeholder.com/400x400/4682B4/D4725B?text=Converse+Court,Sneaker performance avec approche écoresponsable,"Caoutchouc naturel, Liège"
New Balance,2002R Recycled,183,limited,Sage Green/Urban Black,https://via.placeholder.com/400x400/9CAF88/1A1A1A?text=New Balance+2002R,Sneaker limited avec approche écoresponsable,"Algues marines, Liège"
Allbirds,Runner Ocean,176,sustainable,Ocean Blue/Urban Black,https://via.placeholder.com/400x400/4682B4/1A1A1A?text=Allbirds+Runner,Sneaker sustainable avec approche écoresponsable,"Liège, Matériaux recyclés"
Veja,Runner Sustainable,163,limited,Desert Sand/Terra Green,https://via.placeholder.com/400x400/EDC9AF/2D5A27?text=Veja+Runner,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Déchets plastiques"
Vans,Era Ocean,108,performance,Stone White/Desert Sand,https://via.placeholder.com/400x400/F5F5F0/EDC9AF?text=Vans+Era,Sneaker performance avec approche écoresponsable,"Liège, Ocean Plastic"
Veja,Classic Eco,163,lifestyle,Earth Brown/Earth Brown,https://via.placeholder.com/400x400/8B4513/8B4513?text=Veja+Classic,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Ocean Plastic"
Veja,Runner Natural,231,lifestyle,Desert Sand/Desert Sand,https://via.placeholder.com/400x400/EDC9AF/EDC9AF?text=Veja+Runner,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Matériaux recyclés"
Allbirds,Runner Recycled,133,sustainable,Desert Sand/Earth Brown,https://via.placeholder.com/400x400/EDC9AF/8B4513?text=Allbirds+Runner,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Liège"
Nike,React Natural,243,performance,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=Nike+React,Sneaker performance avec approche écoresponsable,"Cuir Apple, Algues marines"
Vans,Era Sustainable,116,sustainable,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=Vans+Era,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Puma,Future Rider Natural,212,lifestyle,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=Puma+Future Rider,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Nike,Dunk Bio,148,lifestyle,Stone White/Stone White,https://via.placeholder.com/400x400/F5F5F0/F5F5F0?text=Nike+Dunk,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Liège"
New Balance,990 Ocean,205,sustainable,Clay Orange/Sage Green,https://via.placeholder.com/400x400/D4725B/9CAF88?text=New Balance+990,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Matériaux recyclés"
Veja,Court Natural,96,limited,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Veja+Court,Sneaker limited avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Vans,Authentic Ocean,196,lifestyle,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Vans+Authentic,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Caoutchouc naturel"
Vans,Old Skool Sustainable,96,lifestyle,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Cuir Apple"
Reebok,Court Natural,144,lifestyle,Stone White/Terra Green,https://via.placeholder.com/400x400/F5F5F0/2D5A27?text=Reebok+Court,Sneaker lifestyle avec approche écoresponsable,"Chanvre, Caoutchouc naturel"
Veja,Classic Bio,104,performance,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Veja+Classic,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Cuir Apple"
Vans,Slip-On Sustainable,152,performance,Urban Black/Ocean Blue,https://via.placeholder.com/400x400/1A1A1A/4682B4?text=Vans+Slip-On,Sneaker performance avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Vans,Old Skool Ocean,133,lifestyle,Earth Brown/Ocean Blue,https://via.placeholder.com/400x400/8B4513/4682B4?text=Vans+Old Skool,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Coton bio"
Reebok,Classic Eco,221,limited,Clay Orange/Earth Brown,https://via.placeholder.com/400x400/D4725B/8B4513?text=Reebok+Classic,Sneaker limited avec approche écoresponsable,"Déchets plastiques, Cuir Apple"
New Balance,327 Eco,245,limited,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=New Balance+327,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Liège"
Nike,Blazer Recycled,130,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Nike+Blazer,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Ocean Plastic"
Vans,Sk8-Hi Natural,103,lifestyle,Desert Sand/Urban Black,https://via.placeholder.com/400x400/EDC9AF/1A1A1A?text=Vans+Sk8-Hi,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Cuir Apple"
Converse,Court Bio,180,lifestyle,Desert Sand/Clay Orange,https://via.placeholder.com/400x400/EDC9AF/D4725B?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Ocean Plastic, Déchets plastiques"
Adidas,NMD Sustainable,242,lifestyle,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Adidas+NMD,Sneaker lifestyle avec approche écoresponsable,"Coton bio, Caoutchouc naturel"
Puma,Clyde Bio,227,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Puma+Clyde,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Liège"
Puma,Clyde Ocean,173,lifestyle,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Puma+Clyde,Sneaker lifestyle avec approche écoresponsable,"Déchets plastiques, Chanvre"
Converse,Court Ocean,115,lifestyle,Clay Orange/Urban Black,https://via.placeholder.com/400x400/D4725B/1A1A1A?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Vans,Authentic Natural,191,limited,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Vans+Authentic,Sneaker limited avec approche écoresponsable,"Algues marines, Matériaux recyclés"
Converse,Runner Natural,244,performance,Terra Green/Urban Black,https://via.placeholder.com/400x400/2D5A27/1A1A1A?text=Converse+Runner,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Algues marines"
Converse,Runner Natural,183,lifestyle,Earth Brown/Urban Black,https://via.placeholder.com/400x400/8B4513/1A1A1A?text=Converse+Runner,Sneaker lifestyle avec approche écoresponsable,"Caoutchouc naturel, Caoutchouc naturel"
Adidas,Gazelle Bio,187,sustainable,Stone White/Sage Green,https://via.placeholder.com/400x400/F5F5F0/9CAF88?text=Adidas+Gazelle,Sneaker sustainable avec approche écoresponsable,"Déchets plastiques, Matériaux recyclés"
Reebok,Runner Bio,183,sustainable,Desert Sand/Ocean Blue,https://via.placeholder.com/400x400/EDC9AF/4682B4?text=Reebok+Runner,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Liège"
Puma,Thunder Sustainable,225,sustainable,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Puma+Thunder,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Chanvre"
Vans,Era Sustainable,166,sustainable,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Vans+Era,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Chanvre"
Allbirds,Classic Bio,91,performance,Urban Black/Ocean Blue,https://via.placeholder.com/400x400/1A1A1A/4682B4?text=Allbirds+Classic,Sneaker performance avec approche écoresponsable,"Cuir Apple, Algues marines"
Nike,Blazer Natural,242,performance,Stone White/Clay Orange,https://via.placeholder.com/400x400/F5F5F0/D4725B?text=Nike+Blazer,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Matériaux recyclés"
Vans,Sk8-Hi Recycled,107,limited,Ocean Blue/Sage Green,https://via.placeholder.com/400x400/4682B4/9CAF88?text=Vans+Sk8-Hi,Sneaker limited avec approche écoresponsable,"Matériaux recyclés, Matériaux recyclés"
Adidas,NMD Bio,116,sustainable,Desert Sand/Stone White,https://via.placeholder.com/400x400/EDC9AF/F5F5F0?text=Adidas+NMD,Sneaker sustainable avec approche écoresponsable,"Caoutchouc naturel, Algues marines"
New Balance,990 Eco,182,sustainable,Stone White/Urban Black,https://via.placeholder.com/400x400/F5F5F0/1A1A1A?text=New Balance+990,Sneaker sustainable avec approche écoresponsable,"Matériaux recyclés, Liège"
Puma,Suede Eco,155,performance,Clay Orange/Ocean Blue,https://via.placeholder.com/400x400/D4725B/4682B4?text=Puma+Suede,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Caoutchouc naturel"
Veja,Court Bio,80,performance,Sage Green/Desert Sand,https://via.placeholder.com/400x400/9CAF88/EDC9AF?text=Veja+Court,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Chanvre"
Vans,Era Recycled,181,limited,Earth Brown/Urban Black,https://via.placeholder.com/400x400/8B4513/1A1A1A?text=Vans+Era,Sneaker limited avec approche écoresponsable,"Caoutchouc naturel, Algues marines"
Converse,Runner Recycled,233,sustainable,Terra Green/Sage Green,https://via.placeholder.com/400x400/2D5A27/9CAF88?text=Converse+Runner,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Chanvre"
Converse,Classic Bio,171,performance,Stone White/Ocean Blue,https://via.placeholder.com/400x400/F5F5F0/4682B4?text=Converse+Classic,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Liège"
Nike,Dunk Eco,232,performance,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Nike+Dunk,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Veja,Classic Natural,159,lifestyle,Urban Black/Desert Sand,https://via.placeholder.com/400x400/1A1A1A/EDC9AF?text=Veja+Classic,Sneaker lifestyle avec approche écoresponsable,"Algues marines, Cuir Apple"
Converse,Court Natural,124,sustainable,Ocean Blue/Earth Brown,https://via.placeholder.com/400x400/4682B4/8B4513?text=Converse+Court,Sneaker sustainable avec approche écoresponsable,"Liège, Déchets plastiques"
Puma,Suede Eco,84,limited,Ocean Blue/Clay Orange,https://via.placeholder.com/400x400/4682B4/D4725B?text=Puma+Suede,Sneaker limited avec approche écoresponsable,"Algues marines, Algues marines"
Reebok,Classic Natural,243,limited,Sage Green/Earth Brown,https://via.placeholder.com/400x400/9CAF88/8B4513?text=Reebok+Classic,Sneaker limited avec approche écoresponsable,"Ocean Plastic, Coton bio"
Adidas,Ultraboost Eco,162,performance,Terra Green/Clay Orange,https://via.placeholder.com/400x400/2D5A27/D4725B?text=Adidas+Ultraboost,Sneaker performance avec approche écoresponsable,"Matériaux recyclés, Ocean Plastic"
Puma,RS-X Bio,95,lifestyle,Sage Green/Sage Green,https://via.placeholder.com/400x400/9CAF88/9CAF88?text=Puma+RS-X,Sneaker lifestyle avec approche écoresponsable,"Coton bio, Caoutchouc naturel"
Converse,Court Natural,197,lifestyle,Stone White/Stone White,https://via.placeholder.com/400x400/F5F5F0/F5F5F0?text=Converse+Court,Sneaker lifestyle avec approche écoresponsable,"Liège, Algues marines"
Vans,Authentic Bio,193,performance,Clay Orange/Desert Sand,https://via.placeholder.com/400x400/D4725B/EDC9AF?text=Vans+Authentic,Sneaker performance avec approche écoresponsable,"Ocean Plastic, Chanvre"
Reebok,Classic Ocean,120,performance,Urban Black/Clay Orange,https://via.placeholder.com/400x400/1A1A1A/D4725B?text=Reebok+Classic,Sneaker performance avec approche écoresponsable,"Déchets plastiques, Cuir Apple"
Reebok,Runner Ocean,199,sustainable,Sage Green/Clay Orange,https://via.placeholder.com/400x400/9CAF88/D4725B?text=Reebok+Runner,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Caoutchouc naturel"
New Balance,997 Sustainable,135,sustainable,Sage Green/Earth Brown,https://via.placeholder.com/400x400/9CAF88/8B4513?text=New Balance+997,Sneaker sustainable avec approche écoresponsable,"Liège, Caoutchouc naturel"
Converse,Court Eco,136,sustainable,Stone White/Desert Sand,https://via.placeholder.com/400x400/F5F5F0/EDC9AF?text=Converse+Court,Sneaker sustainable avec approche écoresponsable,"Ocean Plastic, Caoutchouc naturel"
New Balance,327 Natural,166,limited,Earth Brown/Sage Green,https://via.placeholder.com/400x400/8B4513/9CAF88?text=New Balance+327,Sneaker limited avec approche écoresponsable,"Liège, Ocean Plastic"
Puma,Clyde Eco,174,sustainable,Terra Green/Earth Brown,https://via.placeholder.com/400x400/2D5A27/8B4513?text=Puma+Clyde,Sneaker sustainable avec approche écoresponsable,"Cuir Apple, Coton bio"
